biomass_node_id,province_id,province_name,longitude,latitude,available_gj,biomass_supply_gj,biomass_supply_tonnes_equiv,unit,mass_conversion_gj_per_tonne,base_cost_cny_per_gj,low_cost_cny_per_gj,high_cost_cny_per_gj,match_rule,competition_scope,buffer_km,aggregation_cell_deg,land_competition_included,source,year_basis
B00001,1,安徽省,114.94976670072222,32.97273611451748,903765.8490661668,903765.8490661668,60251.05660441112,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00002,1,安徽省,114.95047632382659,33.07043218782716,2134148.6429701047,2134148.6429701047,142276.57619800698,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00003,1,安徽省,115.21743142553338,32.67911167200962,1681468.818530691,1681468.818530691,112097.9212353794,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00004,1,安徽省,115.158895128662,32.91611763796933,5777161.200365602,5777161.200365602,385144.0800243735,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00005,1,安徽省,115.13358900779218,33.049928147382076,4104504.144672019,4104504.144672019,273633.60964480124,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00006,1,安徽省,115.44921626553436,31.393896771441156,824370.2307086749,824370.2307086749,54958.01538057833,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00007,1,安徽省,115.47982082588798,31.590902741816656,348749.03995215445,348749.03995215445,23249.935996810298,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00008,1,安徽省,115.495,32.495000000000005,12400.000066101124,12400.000066101124,826.6666710734082,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00009,1,安徽省,115.38219865671368,32.65411170475575,7516739.503307318,7516739.503307318,501115.96688715456,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00010,1,安徽省,115.3749742270304,32.87824828347354,10574468.018903308,10574468.018903308,704964.5345935539,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00011,1,安徽省,115.38391612091603,33.11614602127415,9824777.396960292,9824777.396960292,654985.1597973529,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00012,1,安徽省,115.41732963668075,33.37943572871836,6705392.239025291,6705392.239025291,447026.1492683527,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00013,1,安徽省,115.43954213251058,33.52655964619027,1041584.6587281994,1041584.6587281994,69438.97724854662,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00014,1,安徽省,115.613977294446,31.210472538699015,510487.5199531124,510487.5199531124,34032.501330207495,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00015,1,安徽省,115.6227660987567,31.387512010117277,3739650.7642038935,3739650.7642038935,249310.05094692623,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00016,1,安徽省,115.62830575172423,31.597646796240692,3804843.877298812,3804843.877298812,253656.25848658747,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00017,1,安徽省,115.68978948231607,31.762811701651934,71218.39058475396,71218.39058475396,4747.892705650263,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00018,1,安徽省,115.60255318365346,32.467620807618935,1969354.5406348882,1969354.5406348882,131290.30270899256,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00019,1,安徽省,115.62518011496734,32.62620438355251,9836750.392745312,9836750.392745312,655783.3595163542,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00020,1,安徽省,115.6192679591047,32.8758066642393,10134188.918916894,10134188.918916894,675612.5945944596,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00021,1,安徽省,115.62583194530305,33.123249264898035,10250597.91876595,10250597.91876595,683373.1945843966,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00022,1,安徽省,115.62408079070852,33.37390166003491,10542507.672622915,10542507.672622915,702833.8448415276,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00023,1,安徽省,115.65808001532872,33.61277294097755,7478586.066329826,7478586.066329826,498572.40442198835,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00024,1,安徽省,115.66998574662534,33.8718231738001,6537519.773692277,6537519.773692277,435834.65157948516,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00025,1,安徽省,115.68214641213467,34.03056759499839,1235311.3819264723,1235311.3819264723,82354.09212843148,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00026,1,安徽省,115.95291486601789,30.386922013763588,1580238.9372218202,1580238.9372218202,105349.26248145469,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00027,1,安徽省,115.90652539940271,30.647547127714322,4207846.813120161,4207846.813120161,280523.12087467744,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00028,1,安徽省,115.92956037799888,30.825811017132356,2641847.031133146,2641847.031133146,176123.1354088764,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
