plant_id,plant_index,plant_site,unit_count,total_capacity_mw,mean_commission_year,retirement_year,province_mode,dominant_combustion,dominant_cooling_technology,combustion_mix,capacity_mw_once_through,capacity_mw_recirculating,capacity_mw_air,weighted_water_intensity_m3_per_mwh,quota_intensity_m3_per_mwh,air_consumption_intensity_m3_per_mwh,air_consumption_ccs_intensity_m3_per_mwh,already_air_share,requires_water_supply,centroid_latitude,centroid_longitude,source,year_basis,coast_distance_km,seawater_cooled,freshwater_intensity_m3_per_mwh,withdrawal_intensity_m3_per_mwh,consumption_intensity_m3_per_mwh,withdrawal_ccs_intensity_m3_per_mwh,consumption_ccs_intensity_m3_per_mwh,quota_ccs_intensity_m3_per_mwh
P0001,1,H350_000,18,12260.0,2011.1666666666667,2051,Fujian,supercritical,once-through,supercritical:0.444;ultra-supercritical:0.444;subcritical:0.111,12260.0,0.0,0.0,0.35,0.4012,0.1406,0.2804,0.0,False,26.37928888888889,119.69716297777778,inputs/plants_unit.csv,2025,3.48,True,0.0,0.0,0.0,0.0,0.0,0.4012
P0002,2,H350_001,32,14030.0,2013.46875,2053,Shanxi,supercritical,Air,supercritical:0.500;subcritical:0.438;ultra-supercritical:0.062,0.0,1910.0,12120.0,0.5715,0.8413,0.1673,0.3177,0.8639,True,39.44562280625,112.5059534875,inputs/plants_unit.csv,2025,446.91,False,0.5715,0.4911,0.4137,0.9658,0.7656,1.1932
P0003,3,H350_002,17,6765.0,2008.4117647058824,2048,Chongqing,subcritical,recirculating,subcritical:0.765;supercritical:0.235,2640.0,4125.0,0.0,1.2646,1.7052,0.1844,0.3405,0.0,True,29.095265411764704,106.56065670588235,inputs/plants_unit.csv,2025,818.09,False,1.2646,46.8173,1.5534,80.3071,2.6861,2.8379
P0004,4,H350_003,11,2160.0,2014.8181818181818,2054,Inner Mongolia,subcritical,recirculating,subcritical:1.000,0.0,1500.0,660.0,1.3978,2.1186,0.2,0.36,0.3056,True,40.72295445454545,107.40690754545453,inputs/plants_unit.csv,2025,901.68,False,1.3978,1.6744,1.4569,3.2694,2.6447,3.3064
P0005,5,H350_004,9,3765.0,2010.6666666666667,2050,Sichuan,subcritical,recirculating,subcritical:0.556;supercritical:0.444,0.0,3765.0,0.0,1.85,2.3873,0.1745,0.3281,0.0,True,28.61919437777778,104.9672844,inputs/plants_unit.csv,2025,821.76,False,1.85,2.2335,1.755,4.2741,3.2739,3.9062
P0006,6,H350_005,15,5140.0,2010.2666666666667,2050,Hebei,subcritical,recirculating,subcritical:0.600;supercritical:0.267;ultra-supercritical:0.133,400.0,4740.0,0.0,1.7333,2.4774,0.1686,0.3181,0.0,True,39.741398106666665,118.25929270666668,inputs/plants_unit.csv,2025,59.87,False,1.7333,10.9747,1.6485,19.2784,3.0554,3.8843
P0007,7,H350_006,18,8696.0,2010.5,2050,Hebei,subcritical,recirculating,subcritical:0.667;ultra-supercritical:0.333,1200.0,7496.0,0.0,1.643,1.9194,0.1448,0.2841,0.0,True,39.17751832222221,118.36966382222224,inputs/plants_unit.csv,2025,10.93,True,1.5947,1.4876,1.2152,3.1494,2.3736,3.0778
P0008,8,H350_007,23,2736.0,2010.5217391304348,2050,Shandong,subcritical,recirculating,subcritical:0.913;ultra-supercritical:0.087,2000.0,736.0,0.0,0.7535,1.1842,0.1602,0.3053,0.0,True,37.34379926086956,122.11088608695654,inputs/plants_unit.csv,2025,10.01,True,0.4977,0.6214,0.5407,1.2132,0.9819,1.6254
P0009,9,H350_008,64,21340.0,2008.984375,2048,Inner Mongolia,subcritical,recirculating,subcritical:0.750;supercritical:0.141;ultra-supercritical/CCS:0.062;ultra-supercritical:0.047,0.0,14820.0,6520.0,1.3978,1.8933,0.1683,0.3174,0.3055,True,40.544682800000004,109.97652060625,inputs/plants_unit.csv,2025,685.26,False,1.3978,1.4433,1.1872,2.9083,2.2436,2.9497
P0010,10,H350_009,6,3720.0,2016.1666666666667,2056,Yunnan,supercritical,recirculating,supercritical:0.667;ultra-supercritical:0.333,0.0,3720.0,0.0,1.85,2.35,0.1458,0.2887,0.0,True,27.534283966666663,104.82352106666667,inputs/plants_unit.csv,2025,723.1,False,1.85,1.9735,1.4858,3.8916,2.8719,3.7361
P0011,11,H350_010,14,8530.0,2006.5714285714287,2046,Guangdong,subcritical,once-through,subcritical:0.643;supercritical:0.214;ultra-supercritical:0.143,7630.0,900.0,0.0,0.5083,0.6371,0.1728,0.3237,0.0,True,22.019859071428574,113.01274548571429,inputs/plants_unit.csv,2025,0.13,True,0.1952,0.2353,0.1839,0.4498,0.3436,0.7968
P0012,12,H350_011,13,5600.0,2002.8461538461538,2042,Liaoning,subcritical,recirculating,subcritical:0.538;supercritical:0.308;ultra-supercritical:0.154,600.0,5000.0,0.0,1.6893,2.2861,0.1657,0.315,0.0,True,42.46554086923077,123.77717060769234,inputs/plants_unit.csv,2025,230.49,False,1.6893,11.3925,1.5793,20.9811,2.9204,3.6272
