unit_id,plant_site,capacity_mw,commission_year,combustion,cooling_technology,province,latitude,longitude,source,year_basis
G100000100098,浙能新疆阿克苏纺织工业城热电厂,350.0,2016,supercritical,recirculating,Xinjiang,41.154153,80.399732,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000100099,浙能新疆阿克苏纺织工业城热电厂,350.0,2017,supercritical,recirculating,Xinjiang,41.154153,80.399732,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000100108,徐矿集团新疆阿克苏电厂,200.0,2011,subcritical,recirculating,Xinjiang,41.078773,80.16948,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000100109,徐矿集团新疆阿克苏电厂,200.0,2011,subcritical,recirculating,Xinjiang,41.078773,80.16948,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000113040,鑫玛热电集团安达热电,50.0,2014,subcritical,recirculating,Heilongjiang,46.399604,125.298159,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000113041,鑫玛热电集团安达热电,50.0,2014,subcritical,recirculating,Heilongjiang,46.399604,125.298159,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000100238,国电蚌埠发电厂,630.0,2008,supercritical,recirculating,Anhui,32.78444,117.11472,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000100239,国电蚌埠发电厂,630.0,2009,supercritical,recirculating,Anhui,32.78444,117.11472,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000100236,国电蚌埠发电厂,660.0,2018,ultra-supercritical,recirculating,Anhui,32.78444,117.11472,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000100237,国电蚌埠发电厂,660.0,2018,ultra-supercritical,recirculating,Anhui,32.78444,117.11472,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000113322,"淮南矿业潘集电厂, 淮河能源潘集电厂2×660兆瓦二期项目",660.0,2022,ultra-supercritical,recirculating,Anhui,32.76917,116.759595,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000113323,"淮南矿业潘集电厂, 淮河能源潘集电厂2×660兆瓦二期项目",660.0,2023,ultra-supercritical,recirculating,Anhui,32.76917,116.759595,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000115310,"淮南矿业潘集电厂, 淮河能源潘集电厂2×660兆瓦二期项目",660.0,2025,ultra-supercritical,recirculating,Anhui,32.76917,116.759595,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000115311,"淮南矿业潘集电厂, 淮河能源潘集电厂2×660兆瓦二期项目",660.0,2025,ultra-supercritical,recirculating,Anhui,32.76917,116.759595,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000102000,大唐淮南田家庵发电厂,320.0,1996,subcritical,once-through,Anhui,32.6699252,117.0253207,GEM_with_Cooling_Technology_July2025.xlsx,2025
