storage_hub_id,storage_hub_index,storage_type,province,storage_dsa_mt,storage_eor_mt,storage_all_mt,injectivity_dsa_avg_mtpa,injectivity_eor_avg_mtpa,pixel_count,offshore,longitude,latitude,source,year_basis
S001,1,dsa,,356039.61783885956,0.0,356039.61783885956,98122.98390007019,0.0,8179,True,124.9161,28.978,封存汇图层-Fan,Fan_raster_5km
S002,2,dsa,,269771.7851946354,0.0,269771.7851946354,205915.33293002844,0.0,10021,True,113.1054,19.3607,封存汇图层-Fan,Fan_raster_5km
S003,3,dsa,,254995.3517217636,0.0,254995.3517217636,37824.382871970534,0.0,7205,False,84.0895,39.878,封存汇图层-Fan,Fan_raster_5km
S004,4,dsa,,166924.51876938343,0.0,166924.51876938343,2830.342925393954,0.0,6819,False,125.298,46.474,封存汇图层-Fan,Fan_raster_5km
S005,5,dsa,,156687.57989120483,0.0,156687.57989120483,43609.63070011139,0.0,2439,True,119.4494,38.7991,封存汇图层-Fan,Fan_raster_5km
S006,6,dsa,,143203.43833732605,0.0,143203.43833732605,17324.692983739078,0.0,2360,False,118.5934,32.6443,封存汇图层-Fan,Fan_raster_5km
S007,7,dsa,,76781.36996459961,0.0,76781.36996459961,36126.96185553074,0.0,1450,True,109.5272,20.3387,封存汇图层-Fan,Fan_raster_5km
S008,8,dsa,,57529.94723701477,0.0,57529.94723701477,15822.750703334808,0.0,700,False,116.1731,38.7697,封存汇图层-Fan,Fan_raster_5km
S009,9,dsa,,47580.681423187256,0.0,47580.681423187256,6184.107358932495,0.0,690,False,115.0295,33.4334,封存汇图层-Fan,Fan_raster_5km
S010,10,dsa,,43997.81009578705,0.0,43997.81009578705,10841.898184657097,0.0,1038,False,90.7941,43.0488,封存汇图层-Fan,Fan_raster_5km
S011,11,dsa,,41735.55007648468,0.0,41735.55007648468,24399.57435321808,0.0,2587,False,93.3294,37.5934,封存汇图层-Fan,Fan_raster_5km
S012,12,dsa,,37207.92123627663,0.0,37207.92123627663,89.49377392185852,0.0,7859,False,105.8551,30.5153,封存汇图层-Fan,Fan_raster_5km
S013,13,dsa,,36129.91768717766,0.0,36129.91768717766,2146.0169560313225,0.0,2692,False,86.7206,45.1405,封存汇图层-Fan,Fan_raster_5km
