plant_id,water_node_id,distance_km,distance_rank,delivered_cost_cny_per_m3,year,flow_m3,centroid_longitude,centroid_latitude,province_name
P0002,WC_0056_0019_D,80.44,1,8.0221,2030,10320476.337117577,112.5059534875,39.44562280625,Shanxi
P0002,WC_0056_0019_C,83.32,2,8.166,2030,545974.0233824224,112.5059534875,39.44562280625,Shanxi
P0003,WC_0053_0014_F,46.2,1,6.3099,2030,50381054.04419999,106.56065670588237,29.095265411764704,Chongqing
P0004,WC_0053_0020_D,17.81,1,4.8903,2030,15833647.476000002,107.40690754545452,40.72295445454545,Inner Mongolia
P0005,WC_0052_0014_F,43.55,1,6.1775,2030,33014087.729999993,104.9672844,28.61919437777778,Sichuan
P0006,WC_0059_0019_C,40.24,1,6.0122,2030,23699930.8307147,118.25929270666668,39.741398106666665,Hebei
P0006,WC_0059_0020_C,96.5,2,8.8251,2030,14049423.448285297,118.25929270666668,39.741398106666665,Hebei
P0007,WC_0059_0019_C,54.84,1,6.7422,2030,47078731.073920004,118.36966382222224,39.17751832222221,Hebei
P0008,WC_0061_0018_E,16.13,1,4.8066,2030,6451615.96272,122.11088608695654,37.34379926086956,Shandong
P0009,WC_0054_0020_D,98.31,2,8.9155,2030,68400626.12803043,109.97652060625,40.5446828,Inner Mongolia
P0010,WC_0052_0013_F,58.61,1,6.9306,2030,24773908.267199997,104.82352106666669,27.534283966666663,Yunnan
P0011,WC_0056_0010_H,84.23,1,8.2114,2030,7579328.343900001,113.01274548571428,22.019859071428574,Guangdong
P0012,WC_0061_0021_A,58.62,1,6.9312,2030,27422838.856,123.77717060769234,42.46554086923077,Liaoning
P0013,WC_0056_0020_C,44.21,1,6.2106,2030,28952242.39668637,113.16431352926828,40.1414594,Shanxi
P0013,WC_0056_0020_K,95.34,2,8.7669,2030,43147812.819313616,113.16431352926828,40.1414594,Shanxi
P0014,WC_0056_0011_H,99.44,1,8.9719,2030,12525447.831600001,112.024739125,22.974058575,Guangdong
P0015,WC_0056_0012_F,55.94,1,6.7968,2030,14061628.5282,113.088394,26.08946423333333,Hunan
P0016,WC_0056_0015_F,84.21,1,8.2104,2030,15132005.747199997,113.8259234888889,30.660474866666668,Hubei
P0018,WC_0065_0021_A,54.98,1,6.7489,2030,7715754.839999999,129.9301436,42.9040347,Jilin
P0019,WC_0055_0013_F,80.25,1,8.0126,2030,16320207.4182,111.5750416714286,27.544403028571427,Hunan
