year,category,cost_cny
2030,baseline_net_cost,-695958926391.342
2030,carbon_cost,3558775489641.457
2030,coal_savings_credit,-69729236936.71492
2030,energy_penalty_cost,27029052072.09192
2030,ccs_om_cost,0.0
2030,incremental_om,5068963482.16878
2030,biomass_cost,69834610176.94554
2030,ammonia_cost,0.0
2030,water_cost,320316734446.8945
2030,transport_opex,0.0
2030,storage_cost,0.0
2030,stranded_capex,0.0
2030,ccs_retrofit_capex,0.0
2030,pipe_capex,0.0
2030,blend_upgrade_capex,12054768844.675234
2030,air_retrofit_capex,22031849407.068703
2030,rebuild_capex,0.0
2030,slack_penalty,0.0
2040,baseline_net_cost,-1265041554299.9119
2040,carbon_cost,3538394008746.165
2040,coal_savings_credit,-3007071190765.38
2040,energy_penalty_cost,435336673459.3182
2040,ccs_om_cost,168773836483.29422
2040,incremental_om,284761248772.643
2040,biomass_cost,4005115714035.0874
2040,ammonia_cost,0.0
2040,water_cost,221591688604.50757
2040,transport_opex,286420611621.6755
2040,storage_cost,125189012706.06984
2040,stranded_capex,3073333850.6378927
2040,ccs_retrofit_capex,458619131280.12195
2040,pipe_capex,229104556001.50534
2040,blend_upgrade_capex,655584122481.8708
2040,air_retrofit_capex,1436494792.0185068
2040,rebuild_capex,14879567749.564188
2040,slack_penalty,0.0
2050,baseline_net_cost,-933734966817.9365
2050,carbon_cost,-182938812706.91092
2050,coal_savings_credit,-1756711747417.2866
2050,energy_penalty_cost,234202936923.71805
2050,ccs_om_cost,73672210406.04445
2050,incremental_om,2227378180814.7344
2050,biomass_cost,2470038833418.423
2050,ammonia_cost,0.0
2050,water_cost,97761510562.69388
2050,transport_opex,171998971900.02368
2050,storage_cost,69972061846.38985
2050,stranded_capex,30640950418.787144
2050,ccs_retrofit_capex,21749127300.411827
2050,pipe_capex,13549445026.58142
2050,blend_upgrade_capex,18333497241.198997
2050,air_retrofit_capex,8473684.38415297
2050,rebuild_capex,140182239700.81717
2050,slack_penalty,0.0
2060,baseline_net_cost,-572920654360.5425
2060,carbon_cost,-1110916979103.6638
2060,coal_savings_credit,-953794114842.0886
2060,energy_penalty_cost,121337381258.39977
2060,ccs_om_cost,33106886479.03586
2060,incremental_om,1622079940458.1045
2060,biomass_cost,1339193351222.2488
2060,ammonia_cost,0.0
2060,water_cost,53649128079.3941
2060,transport_opex,110181181115.90292
2060,storage_cost,39073391278.03699
2060,stranded_capex,553932953.5568933
2060,ccs_retrofit_capex,12722592615.717472
2060,pipe_capex,15486134784.52898
2060,blend_upgrade_capex,780631309.8105036
2060,air_retrofit_capex,-5.551115123125783e-07
2060,rebuild_capex,124575387433.52365
2060,slack_penalty,1871.049593844728
