year,category,cost_cny
2030,baseline_net_cost,-243931470628.53912
2030,carbon_cost,3024959166195.2397
2030,coal_savings_credit,0.0
2030,energy_penalty_cost,0.0
2030,ccs_om_cost,0.0
2030,incremental_om,2441233186491.8516
2030,biomass_cost,0.0
2030,ammonia_cost,0.0
2030,water_cost,338833224630.04974
2030,transport_opex,0.0
2030,storage_cost,0.0
2030,stranded_capex,525833160760.29926
2030,ccs_retrofit_capex,0.0
2030,pipe_capex,0.0
2030,blend_upgrade_capex,0.0
2030,air_retrofit_capex,0.0
2030,rebuild_capex,0.0
2030,slack_penalty,1522487678220.844
2040,baseline_net_cost,-616374977766.2972
2040,carbon_cost,1995989791022.576
2040,coal_savings_credit,-2854970924560.2495
2040,energy_penalty_cost,393454744597.4695
2040,ccs_om_cost,141751208013.3516
2040,incremental_om,2508766040168.925
2040,biomass_cost,3783736926672.3066
2040,ammonia_cost,0.0
2040,water_cost,208239424190.13788
2040,transport_opex,231186207955.62564
2040,storage_cost,96637634888.89015
2040,stranded_capex,101980776041.61143
2040,ccs_retrofit_capex,385188944160.9395
2040,pipe_capex,179670431568.04916
2040,blend_upgrade_capex,596890367243.6279
2040,air_retrofit_capex,0.0
2040,rebuild_capex,11362857817.685055
2040,slack_penalty,0.0
2050,baseline_net_cost,-565352611826.6638
2050,carbon_cost,-1346375722096.054
2050,coal_savings_credit,-1724325905568.119
2050,energy_penalty_cost,232663016167.79337
2050,ccs_om_cost,76693912575.77318
2050,incremental_om,2946126207705.1387
2050,biomass_cost,2487606801943.1235
2050,ammonia_cost,0.0
2050,water_cost,94744366181.18726
2050,transport_opex,273887661838.28244
2050,storage_cost,68185547770.63291
2050,stranded_capex,32399901582.860046
2050,ccs_retrofit_capex,56055474850.75702
2050,pipe_capex,109860516980.12614
2050,blend_upgrade_capex,54513524585.84385
2050,air_retrofit_capex,0.0
2050,rebuild_capex,133557564388.6728
2050,slack_penalty,410.3604089857453
2060,baseline_net_cost,-497265731442.0456
2060,carbon_cost,-1290730453791.7964
2060,coal_savings_credit,-931726660186.2548
2060,energy_penalty_cost,119502059462.10481
2060,ccs_om_cost,33364475210.885223
2060,incremental_om,1726423019664.0923
2060,biomass_cost,1337749645417.9653
2060,ammonia_cost,0.0
2060,water_cost,46881648954.09721
2060,transport_opex,161622444831.49197
2060,storage_cost,37723739948.98756
2060,stranded_capex,222496586.65039116
2060,ccs_retrofit_capex,5993359692.26291
2060,pipe_capex,9179540739.732956
2060,blend_upgrade_capex,0.0
2060,air_retrofit_capex,0.0
2060,rebuild_capex,117444138271.09906
2060,slack_penalty,0.0
