year,plant_id,province_name,capacity_mw,baseline_net_cost_cny,carbon_cost_cny,coal_savings_cny,incremental_om_cny,energy_penalty_cny,ccs_om_cny,stranded_capex_cny,ccs_retrofit_capex_cny,total_plant_cost_cny
2030,P0001,Fujian,12260.0,1436435877.4719996,6184165660.799999,-0.0,0.0,0.0,0.0,0.0,0.0,7620601538.271999
2030,P0002,Shanxi,14030.0,-5084857044.090199,6391265483.999998,-0.0,0.0,0.0,0.0,0.0,0.0,1306408439.9097986
2030,P0003,Chongqing,6765.0,1464068111.5513217,3191383879.2,-0.0,0.0,0.0,0.0,0.0,0.0,4655451990.751322
2030,P0004,Inner Mongolia,2160.0,-375463828.98727536,221799906.82913265,-0.0,3876289157.7936006,0.0,0.0,5992033324.401869,0.0,9714658560.037327
2030,P0005,Sichuan,3765.0,1300652722.2957602,1851046286.3999996,-0.0,0.0,0.0,0.0,0.0,0.0,3151699008.69576
2030,P0006,Hebei,5140.0,-1137235745.2450411,1998254265.5064027,-0.0,1166288378.4768176,0.0,0.0,2036123057.3045433,0.0,4063429956.0427227
2030,P0007,Hebei,8696.0,-2169560870.163648,3812168480.6399994,-0.0,0.0,0.0,0.0,0.0,0.0,1642607610.4763513
2030,P0008,Shandong,2736.0,426127623.52176005,1174105808.64,-0.0,0.0,0.0,0.0,0.0,0.0,1600233432.16176
2030,P0009,Inner Mongolia,21340.0,-17885197321.787403,10565425464.0,-0.0,0.0,0.0,0.0,0.0,0.0,-7319771857.787403
2030,P0010,Yunnan,3720.0,-1105247783.54304,1640700345.5999997,-0.0,0.0,0.0,0.0,0.0,0.0,535452562.0569596
2030,P0011,Guangdong,8530.0,1471894024.3530998,4055497058.3999996,-0.0,0.0,0.0,0.0,0.0,0.0,5527391082.753099
2030,P0012,Liaoning,5600.0,24786995.800000157,1708609727.9999998,-0.0,0.0,0.0,0.0,0.0,0.0,1733396723.8
2030,P0013,Shanxi,17570.0,-6367850197.0538,8003886995.999999,-0.0,0.0,0.0,0.0,0.0,0.0,1636036798.9461994
2030,P0014,Guangdong,2460.0,424485263.7642,1169580628.8,-0.0,0.0,0.0,0.0,0.0,0.0,1594065892.5642
2030,P0015,Hunan,2530.0,946070044.3953005,972630568.8,-0.0,0.0,0.0,0.0,0.0,0.0,1918700613.1953006
2030,P0016,Hubei,8480.0,2416500236.477441,3128786227.1999993,-0.0,0.0,0.0,0.0,0.0,0.0,5545286463.677441
2030,P0017,Jiangsu,9320.0,1348857202.8708022,4599654864.0,-0.0,0.0,0.0,0.0,0.0,0.0,5948512066.870802
2030,P0018,Jilin,1060.0,58124355.070160106,377726505.6,-0.0,0.0,0.0,0.0,0.0,0.0,435850860.6701601
2030,P0019,Hunan,3870.0,1447150621.2687006,1487778775.1999998,-0.0,0.0,0.0,0.0,0.0,0.0,2934929396.4687004
2030,P0020,Zhejiang,12197.0,1195887242.521957,6643382923.439999,-0.0,0.0,0.0,0.0,0.0,0.0,7839270165.961956
2030,P0021,Shandong,10375.0,0.0,0.0,-0.0,20360885625.000004,0.0,0.0,30865625000.0,0.0,51226510625.0
2030,P0022,Shandong,3645.0,567702919.49445,1564187014.8000002,-0.0,0.0,0.0,0.0,0.0,0.0,2131889934.2944503
2030,P0023,Henan,5560.0,817681631.4294406,1969355558.3999999,-0.0,0.0,0.0,0.0,0.0,0.0,2787037189.8294406
2030,P0024,Chongqing,1229.0,265977784.04975235,579779865.12,-0.0,0.0,0.0,0.0,0.0,0.0,845757649.1697524
2030,P0025,Jilin,4300.0,235787478.11480045,1532286768.0,-0.0,0.0,0.0,0.0,0.0,0.0,1768074246.1148005
2030,P0026,Hainan,2100.0,-338086622.2943996,1039585175.9999999,-0.0,0.0,0.0,0.0,0.0,0.0,701498553.7056003
2030,P0027,Shandong,13365.0,2081577371.47965,5735352387.6,-0.0,0.0,0.0,0.0,0.0,0.0,7816929759.079651
2030,P0028,Hunan,5740.0,2146419784.517401,2206679630.3999996,-0.0,0.0,0.0,0.0,0.0,0.0,4353099414.9174
2030,P0029,Jilin,120.0,6580115.668320011,42761491.199999996,-0.0,0.0,0.0,0.0,0.0,0.0,49341606.86832
2030,P0030,Jilin,4481.0,245712485.91451645,1596785350.56,-0.0,0.0,0.0,0.0,0.0,0.0,1842497836.4745164
2030,P0031,Shanxi,4900.0,-1775894477.2659998,2232159720.0,-0.0,0.0,0.0,0.0,0.0,0.0,456265242.7340002
2030,P0032,Henan,2370.0,348544148.6488803,839455516.8,-0.0,0.0,0.0,0.0,0.0,0.0,1187999665.4488802
2030,P0033,Henan,6270.0,0.0,0.0,-0.0,10156271400.0,0.0,0.0,21945000000.0,0.0,32101271400.0
2030,P0034,Shandong,4220.0,0.0,0.0,-0.0,8281728900.0,0.0,0.0,14031500000.0,0.0,22313228900.0
2030,P0035,Anhui,9120.0,2171713415.8118415,4560717196.8,-0.0,0.0,0.0,0.0,0.0,0.0,6732430612.611841
2030,P0036,Jiangsu,27922.0,4041071976.240186,13780210634.4,-0.0,0.0,0.0,0.0,0.0,0.0,17821282610.640186
2030,P0037,Inner Mongolia,8340.0,0.0,0.0,-0.0,18883219500.0,0.0,0.0,29190000000.0,0.0,48073219500.0
2030,P0038,Sichuan,4920.0,1699657740.6892805,2418897139.2,-0.0,0.0,0.0,0.0,0.0,0.0,4118554879.8892803
2030,P0039,Heilongjiang,2150.0,-111120835.55399956,735911460.0,-0.0,0.0,0.0,0.0,0.0,0.0,624790624.4460005
2030,P0040,Shanxi,6350.0,-2301414271.5589995,2892696779.9999995,-0.0,0.0,0.0,0.0,0.0,0.0,591282508.441
2030,P0041,Hebei,3890.0,0.0,0.0,-0.0,7798652550.0,0.0,0.0,13615000000.0,0.0,21413652550.0
2030,P0042,Shandong,6320.0,984329890.5912001,2712115756.8,-0.0,0.0,0.0,0.0,0.0,0.0,3696445647.3912
2030,P0043,Anhui,14100.0,3357583241.551202,7051108823.999999,-0.0,0.0,0.0,0.0,0.0,0.0,10408692065.5512
2030,P0044,Heilongjiang,2955.0,-152726543.74979943,1011450402.0000001,-0.0,0.0,0.0,0.0,0.0,0.0,858723858.2502007
2030,P0045,Henan,13910.0,2045674728.9898417,4926930902.4,-0.0,0.0,0.0,0.0,0.0,0.0,6972605631.389841
2030,P0046,Zhejiang,18468.8,1810822522.3161042,10059466306.176,-0.0,0.0,0.0,0.0,0.0,0.0,11870288828.492105
2030,P0047,Liaoning,3280.0,14518097.54000009,1000757126.3999999,-0.0,0.0,0.0,0.0,0.0,0.0,1015275223.9399999
2030,P0048,Shanxi,1400.0,-507398422.076,637759920.0,-0.0,0.0,0.0,0.0,0.0,0.0,130361497.92400002
2030,P0049,Xinjiang,1360.0,-106905132.95593254,59769524.96302164,-0.0,2958758157.7910595,0.0,0.0,4357449717.769829,0.0,7269072267.567978
2030,P0050,Henan,1960.0,288247481.58304024,694233254.4,-0.0,0.0,0.0,0.0,0.0,0.0,982480735.9830402
2030,P0051,Hebei,8180.0,-2040824277.5918398,3585963451.2,-0.0,0.0,0.0,0.0,0.0,0.0,1545139173.60816
2030,P0052,Jiangsu,27370.0,3961182579.6753063,13507784724.0,-0.0,0.0,0.0,0.0,0.0,0.0,17468967303.67531
2030,P0053,Heilongjiang,2800.0,-144715506.76799944,958396320.0000001,-0.0,0.0,0.0,0.0,0.0,0.0,813680813.2320007
2030,P0054,Hebei,4420.0,0.0,0.0,-0.0,8861193900.0,0.0,0.0,8508500000.000001,0.0,17369693900.0
2030,P0055,Shanxi,3700.0,-1340981544.0579998,1685508360.0,-0.0,0.0,0.0,0.0,0.0,0.0,344526815.94200015
2030,P0056,Jiangxi,4020.0,1784677192.093441,1885435315.1999998,-0.0,0.0,0.0,0.0,0.0,0.0,3670112507.293441
2030,P0057,Gansu,2920.0,-34966166.982399434,1203789388.8,-0.0,0.0,0.0,0.0,0.0,0.0,1168823221.8176005
2030,P0058,Jiangsu,4515.0,653443162.1203511,2228266278.0000005,-0.0,0.0,0.0,0.0,0.0,0.0,2881709440.120352
2030,P0059,Inner Mongolia,20820.0,-1805586614.2446117,1066624563.7870946,-0.0,42262267263.16877,0.0,0.0,65329727349.2953,0.0,106853032562.00656
2030,P0060,Shandong,4962.0,772823562.8344201,2129354174.8800004,-0.0,0.0,0.0,0.0,0.0,0.0,2902177737.7144203
2030,P0061,Shandong,3920.0,0.0,0.0,-0.0,7692980400.000002,0.0,0.0,13720000000.0,0.0,21412980400.0
2030,P0062,Xinjiang,970.0,-517579527.14582694,289373219.15911466,-0.0,981890663.6016097,0.0,0.0,1446059112.2411716,0.0,2199743467.856069
2030,P0063,Ningxia,1760.0,-744903315.33376,860880345.6,-0.0,0.0,0.0,0.0,0.0,0.0,115977030.26624
2030,P0064,Shandong,4180.0,0.0,0.0,-0.0,8203229100.000002,0.0,0.0,10241000000.0,0.0,18444229100.0
2030,P0065,Xinjiang,3375.0,-358792518.00946236,200597087.98595977,-0.0,7103457768.35689,0.0,0.0,10461470115.903421,0.0,17406732454.23681
2030,P0066,Fujian,8826.0,1034093234.4671997,4451993974.08,-0.0,0.0,0.0,0.0,0.0,0.0,5486087208.547199
2030,P0067,Hebei,7680.0,-1916079517.3478398,3366772531.2,-0.0,0.0,0.0,0.0,0.0,0.0,1450693013.85216
