year,constraint_type,node_id,province,slack_value,unit
2030,water_supply,WC_0043_0022_K,新疆维吾尔族自治区,3717270.632227095,m3
2030,water_supply,WC_0044_0018_K,新疆维吾尔族自治区,1063795.2526421119,m3
2030,water_supply,WC_0052_0018_K,内蒙古自治区,1935195.009253711,m3
2030,water_supply,WC_0052_0019_D,内蒙古自治区,1146320.6491881178,m3
2030,water_supply,WC_0053_0019_D,内蒙古自治区,10170843.062185185,m3
2030,water_supply,WC_0053_0019_K,内蒙古自治区,60329261.932088085,m3
2030,water_supply,WC_0054_0019_D,内蒙古自治区,50386697.81609455,m3
2030,water_supply,WC_0055_0019_D,内蒙古自治区,17407317.081577133,m3
2030,water_supply,WC_0055_0020_D,内蒙古自治区,103164464.61486362,m3
2030,water_supply,WC_0056_0020_C,内蒙古自治区,27500553.35934735,m3
2050,biomass_supply,B02287,河北省,0.11964626311922189,GJ
