plant_id,water_node_id,distance_km,distance_rank,delivered_cost_cny_per_m3,year,flow_m3,centroid_longitude,centroid_latitude,province_name
P0002,WC_0056_0019_C,83.32,2,8.166,2030,26870594.824499995,112.5059534875,39.44562280625,Shanxi
P0003,WC_0053_0014_F,46.2,1,6.3099,2030,50381054.0442,106.56065670588237,29.095265411764704,Chongqing
P0004,WC_0053_0021_K,169.83,5,12.4917,2030,1043356.3683434332,107.40690754545452,40.72295445454545,Inner Mongolia
P0004,WC_0052_0020_K,193.64,6,13.6821,2030,2240589.6099021314,107.40690754545452,40.72295445454545,Inner Mongolia
P0005,WC_0052_0014_F,43.55,1,6.1775,2030,33014087.73,104.9672844,28.61919437777778,Sichuan
P0006,WC_0058_0020_C,155.59,4,11.7794,2030,7310948.242675147,118.25929270666668,39.741398106666665,Hebei
P0006,WC_0059_0020_A,182.7,5,13.1352,2030,26165902.94317149,118.25929270666668,39.741398106666665,Hebei
P0007,WC_0059_0019_C,54.84,1,6.7422,2030,10616799.285695208,118.36966382222224,39.17751832222221,Hebei
P0007,WC_0058_0019_C,116.45,2,9.8225,2030,8639638.333753254,118.36966382222224,39.17751832222221,Hebei
P0007,WC_0059_0020_C,153.95,3,11.6977,2030,25158227.648057483,118.36966382222224,39.17751832222221,Hebei
P0007,WC_0059_0018_C,159.07,4,11.9537,2030,1650326.6315641417,118.36966382222224,39.17751832222221,Hebei
P0007,WC_0059_0018_D,162.15,5,12.1075,2030,1013739.1748499174,118.36966382222224,39.17751832222221,Hebei
P0008,WC_0061_0018_E,16.13,1,4.8066,2030,6451615.962720002,122.11088608695654,37.34379926086956,Shandong
P0009,WC_0055_0020_D,94.04,1,8.7019,2030,105727259.63400581,109.97652060625,40.5446828,Inner Mongolia
P0009,WC_0054_0020_D,98.31,2,8.9155,2030,11430450.354810113,109.97652060625,40.5446828,Inner Mongolia
P0009,WC_0054_0020_K,135.36,3,10.768,2030,690050.6653347724,109.97652060625,40.5446828,Inner Mongolia
P0009,WC_0055_0020_K,136.34,4,10.8169,2030,9624527.057849292,109.97652060625,40.5446828,Inner Mongolia
P0010,WC_0052_0013_F,58.61,1,6.9306,2030,24773908.267199997,104.82352106666669,27.534283966666663,Yunnan
P0011,WC_0056_0010_H,84.23,1,8.2114,2030,7579328.343900003,113.01274548571428,22.019859071428574,Guangdong
P0012,WC_0061_0021_A,58.62,1,6.9312,2030,5792529.087473653,123.77717060769234,42.46554086923077,Liaoning
P0012,WC_0062_0021_A,117.38,2,9.8692,2030,21630309.768526345,123.77717060769234,42.46554086923077,Liaoning
P0013,WC_0056_0020_C,44.21,1,6.2106,2030,31843389.718850724,113.16431352926828,40.1414594,Shanxi
P0013,WC_0056_0020_K,95.34,2,8.7669,2030,14581129.917587085,113.16431352926828,40.1414594,Shanxi
P0013,WC_0056_0019_C,133.49,4,10.6747,2030,1954425.4830914696,113.16431352926828,40.1414594,Shanxi
P0013,WC_0057_0020_C,192.57,7,13.6283,2030,16713078.665922638,113.16431352926828,40.1414594,Shanxi
P0013,WC_0057_0020_K,196.43,8,13.8214,2030,7008031.430548072,113.16431352926828,40.1414594,Shanxi
P0014,WC_0056_0011_H,99.44,1,8.9719,2030,12525447.831600001,112.024739125,22.974058575,Guangdong
P0015,WC_0056_0012_F,55.94,1,6.7968,2030,14061628.5282,113.088394,26.08946423333333,Hunan
P0016,WC_0056_0015_F,84.21,1,8.2104,2030,15132005.747199997,113.8259234888889,30.660474866666668,Hubei
P0018,WC_0065_0021_A,54.98,1,6.7489,2030,7715754.840000001,129.9301436,42.9040347,Jilin
P0019,WC_0055_0013_F,80.25,1,8.0126,2030,16320207.4182,111.5750416714286,27.544403028571427,Hunan
P0020,WC_0060_0015_G,62.87,1,7.1436,2030,12982952.60343,121.14102242857142,30.68855748571428,Zhejiang
P0022,WC_0059_0017_E,163.03,3,12.1517,2030,11572506.078011215,120.11881293333334,35.99860965,Shandong
P0022,WC_0060_0017_E,194.8,4,13.7401,2030,10038390.737238787,120.11881293333334,35.99860965,Shandong
P0023,WC_0056_0016_F,135.68,4,10.7838,2030,31929978.2304,113.21201491428567,33.7993222857143,Henan
P0024,WC_0053_0014_F,77.68,1,7.884,2030,11171957.33998,107.31146671428574,29.655601142857147,Chongqing
P0025,WC_0062_0021_A,106.96,1,9.3479,2030,28258544.694000002,125.24796920000004,43.81222732,Jilin
P0027,WC_0058_0017_D,174.29,6,12.7145,2030,4971389.721199296,116.036756325,36.48592403125,Shandong
P0027,WC_0058_0017_E,199.88,8,13.9942,2030,79922317.11355071,116.036756325,36.48592403125,Shandong
P0028,WC_0056_0013_F,68.97,1,7.4486,2030,20947758.564600002,113.13893942,27.64443306,Hunan
P0029,WC_0063_0022_A,40.81,1,6.0406,2030,873481.6799999999,127.02565466666664,44.58916933333334,Jilin
P0030,WC_0063_0021_A,116.26,1,9.813,2030,22625994.047620017,126.50366462499998,43.90009873333333,Jilin
P0031,WC_0055_0017_D,187.39,5,13.3696,2030,14019051.899999999,111.5960795,36.44789901666667,Shanxi
P0032,WC_0057_0017_E,104.62,3,9.231,2030,12899803.729199998,114.94455282857145,35.69333081428572,Henan
P0035,WC_0058_0015_F,59.27,1,6.9636,2030,36101042.9328,117.78143773571428,30.986382207142857,Anhui
P0036,WC_0060_0015_F,40.29,1,6.0144,2030,44071466.3277,121.25921157285715,31.52313884714286,Jiangsu
P0038,WC_0053_0015_F,64.82,1,7.241,2030,42065211.225600004,106.77105626666668,30.466155083333334,Sichuan
P0039,WC_0061_0023_A,55.15,1,6.7575,2030,10210771.5075,123.69026015555556,47.216015733333336,Heilongjiang
P0040,WC_0056_0018_D,72.54,1,7.6271,2030,8422426.246960634,112.39579644705884,37.87612592941177,Shanxi
P0040,WC_0056_0018_C,151.0,4,11.5498,2030,2436945.6080393624,112.39579644705884,37.87612592941177,Shanxi
P0042,WC_0059_0017_E,166.51,7,12.3257,2030,39380802.777600005,117.7747333,36.10888457777778,Shandong
P0043,WC_0058_0016_E,83.92,1,8.196,2030,28234849.240046024,116.754942764,33.761710992,Anhui
P0043,WC_0057_0016_E,186.08,4,13.304,2030,78463332.04995404,116.754942764,33.761710992,Anhui
P0044,WC_0062_0023_A,60.8,1,7.0398,2030,15036073.659000004,124.97499467692306,46.49802851538463,Heilongjiang
P0045,WC_0056_0017_D,4.72,1,4.2358,2030,19186033.985710543,112.67363529032258,35.190280632258066,Henan
P0045,WC_0056_0017_C,88.03,2,8.4017,2030,6128965.450841215,112.67363529032258,35.190280632258066,Henan
P0045,WC_0056_0017_E,109.66,3,9.4832,2030,17043641.371532273,112.67363529032258,35.190280632258066,Henan
P0045,WC_0055_0017_D,160.81,4,12.0404,2030,8964325.784368012,112.67363529032258,35.190280632258066,Henan
P0045,WC_0057_0017_D,162.06,5,12.1032,2030,3016491.324533489,112.67363529032258,35.190280632258066,Henan
P0045,WC_0055_0016_D,181.15,6,13.0577,2030,3031247.6518144524,112.67363529032258,35.190280632258066,Henan
