year,category,cost_cny
2030,baseline_net_cost,-692028623720.3892
2030,carbon_cost,3558775489641.4546
2030,coal_savings_credit,-205917213110.4835
2030,energy_penalty_cost,107468706407.01761
2030,ccs_om_cost,0.0
2030,incremental_om,15011681203.711939
2030,biomass_cost,210382824885.83438
2030,ammonia_cost,0.0
2030,water_cost,256098789213.6508
2030,transport_opex,0.0
2030,storage_cost,0.0
2030,stranded_capex,0.0
2030,ccs_retrofit_capex,0.0
2030,pipe_capex,0.0
2030,blend_upgrade_capex,32931294049.120693
2030,air_retrofit_capex,71309479343.41016
2030,rebuild_capex,0.0
2030,slack_penalty,0.0
2040,baseline_net_cost,-1209163720627.9243
2040,carbon_cost,3536178234976.556
2040,coal_savings_credit,-2971503902322.8784
2040,energy_penalty_cost,482690089572.3467
2040,ccs_om_cost,167180304235.01907
2040,incremental_om,448261389651.1844
2040,biomass_cost,3955419468765.637
2040,ammonia_cost,0.0
2040,water_cost,172918190585.7959
2040,transport_opex,273645762544.78244
2040,storage_cost,119244652483.01303
2040,stranded_capex,28554644427.953785
2040,ccs_retrofit_capex,454288931821.49243
2040,pipe_capex,222307101139.83026
2040,blend_upgrade_capex,626389129344.857
2040,air_retrofit_capex,5476633327.104192
2040,rebuild_capex,14879567749.564188
2040,slack_penalty,5965502874.50061
2050,baseline_net_cost,-863859031554.9286
2050,carbon_cost,-384330793164.2152
2050,coal_savings_credit,-1745575303538.174
2050,energy_penalty_cost,247434391426.56384
2050,ccs_om_cost,74550100776.2042
2050,incremental_om,2379286972939.1606
2050,biomass_cost,2466315247083.2495
2050,ammonia_cost,0.0
2050,water_cost,72914042368.3847
2050,transport_opex,174280494971.2675
2050,storage_cost,69492972611.17424
2050,stranded_capex,29274678412.730347
2050,ccs_retrofit_capex,24177533404.366417
2050,pipe_capex,20751459769.845768
2050,blend_upgrade_capex,29447531916.23481
2050,air_retrofit_capex,0.00021938006966593093
2050,rebuild_capex,135381419418.59966
2050,slack_penalty,2121239183.9560146
2060,baseline_net_cost,-572528915467.9799
2060,carbon_cost,-1098138712164.9716
2060,coal_savings_credit,-949439250730.5015
2060,energy_penalty_cost,122157206884.18524
2060,ccs_om_cost,32704307952.704185
2060,incremental_om,1626797616415.62
2060,biomass_cost,1341528179484.3257
2060,ammonia_cost,0.0
2060,water_cost,46520790565.43344
2060,transport_opex,105807082674.01222
2060,storage_cost,38775967449.63847
2060,stranded_capex,655055742.2835437
2060,ccs_retrofit_capex,6829410015.693362
2060,pipe_capex,7178033749.915786
2060,blend_upgrade_capex,819662875.3010286
2060,air_retrofit_capex,-9.436895709313831e-07
2060,rebuild_capex,126121362689.99419
2060,slack_penalty,1261981419.5075502
