year,category,cost_cny
2030,baseline_net_cost,-691687183368.2812
2030,carbon_cost,3558775489641.4546
2030,coal_savings_credit,-216237108779.0263
2030,energy_penalty_cost,114068800064.12845
2030,ccs_om_cost,0.0
2030,incremental_om,15733761169.560146
2030,biomass_cost,220830076374.66156
2030,ammonia_cost,0.0
2030,water_cost,248786080094.02542
2030,transport_opex,0.0
2030,storage_cost,0.0
2030,stranded_capex,0.0
2030,ccs_retrofit_capex,0.0
2030,pipe_capex,0.0
2030,blend_upgrade_capex,34276358760.2796
2030,air_retrofit_capex,75044536872.7638
2030,rebuild_capex,0.0
2030,slack_penalty,6620184884.642851
2040,baseline_net_cost,-1246365477527.474
2040,carbon_cost,3503832094256.052
2040,coal_savings_credit,-2972244001213.164
2040,energy_penalty_cost,484940873149.4373
2040,ccs_om_cost,169837666955.0435
2040,incremental_om,451929223385.98895
2040,biomass_cost,3951901824790.5522
2040,ammonia_cost,0.0
2040,water_cost,168158013051.51813
2040,transport_opex,283749269831.0758
2040,storage_cost,122338105337.66174
2040,stranded_capex,26316674355.441338
2040,ccs_retrofit_capex,461509940761.906
2040,pipe_capex,226568994857.89447
2040,blend_upgrade_capex,603455198444.1799
2040,air_retrofit_capex,3998066447.8089385
2040,rebuild_capex,14879567749.564188
2040,slack_penalty,16148336864.093063
2050,baseline_net_cost,-855732620557.2882
2050,carbon_cost,-411869443917.26843
2050,coal_savings_credit,-1749393215711.1165
2050,energy_penalty_cost,247046678593.71136
2050,ccs_om_cost,75125511612.8405
2050,incremental_om,2377974801871.529
2050,biomass_cost,2477210317308.327
2050,ammonia_cost,0.0
2050,water_cost,74314228438.612
2050,transport_opex,177700067451.13837
2050,storage_cost,69948739341.01497
2050,stranded_capex,30274975887.007565
2050,ccs_retrofit_capex,25480317318.1172
2050,pipe_capex,16529147247.724478
2050,blend_upgrade_capex,36173037385.729744
2050,air_retrofit_capex,20131913.538175393
2050,rebuild_capex,133137992104.7929
2050,slack_penalty,2433083383.644887
2060,baseline_net_cost,-578940026493.939
2060,carbon_cost,-1099151588325.9012
2060,coal_savings_credit,-952442032342.9331
2060,energy_penalty_cost,122996582461.36302
2060,ccs_om_cost,32871960736.595627
2060,incremental_om,1618884636958.6182
2060,biomass_cost,1345798173702.427
2060,ammonia_cost,0.0
2060,water_cost,47282205877.53581
2060,transport_opex,105201159235.6377
2060,storage_cost,39064275061.90543
2060,stranded_capex,744506268.7005354
2060,ccs_retrofit_capex,6255866133.718213
2060,pipe_capex,3546767755.3766775
2060,blend_upgrade_capex,565957699.6126151
2060,air_retrofit_capex,0.0
2060,rebuild_capex,127650443783.86826
2060,slack_penalty,0.0
