year,category,cost_cny
2030,baseline_net_cost,-696151368816.373
2030,carbon_cost,3558775489641.4546
2030,coal_savings_credit,-63741176000.351204
2030,energy_penalty_cost,24693958721.534374
2030,ccs_om_cost,9816502.80158624
2030,incremental_om,4640982152.438879
2030,biomass_cost,64283755489.47991
2030,ammonia_cost,0.0
2030,water_cost,323080528458.4651
2030,transport_opex,2221117.6391280815
2030,storage_cost,4399908.16174022
2030,stranded_capex,0.0
2030,ccs_retrofit_capex,26674963.850323986
2030,pipe_capex,1006873596.3158741
2030,blend_upgrade_capex,9588816874.217243
2030,air_retrofit_capex,20184611335.65601
2030,rebuild_capex,0.0
2030,slack_penalty,0.0
2040,baseline_net_cost,-1261029351933.107
2040,carbon_cost,3555752243846.325
2040,coal_savings_credit,-2986810814318.261
2040,energy_penalty_cost,433955226287.4411
2040,ccs_om_cost,170022258227.48373
2040,incremental_om,283155997045.61993
2040,biomass_cost,3970098630338.3745
2040,ammonia_cost,0.0
2040,water_cost,227794643709.3579
2040,transport_opex,285870246975.6357
2040,storage_cost,125035301419.70453
2040,stranded_capex,3598270814.632512
2040,ccs_retrofit_capex,462000398408.57983
2040,pipe_capex,231425748925.86356
2040,blend_upgrade_capex,612847834961.3368
2040,air_retrofit_capex,1616131610.7677958
2040,rebuild_capex,14879567749.564188
2040,slack_penalty,0.0
2050,baseline_net_cost,-925160567856.2109
2050,carbon_cost,-235024294021.61655
2050,coal_savings_credit,-1750717922915.4094
2050,energy_penalty_cost,233275398864.31607
2050,ccs_om_cost,74760265908.05652
2050,incremental_om,2244062623140.9775
2050,biomass_cost,2472711309627.661
2050,ammonia_cost,0.0
2050,water_cost,103226759368.61586
2050,transport_opex,175246046019.08972
2050,storage_cost,69991405809.27478
2050,stranded_capex,29364965812.967922
2050,ccs_retrofit_capex,27378051784.73447
2050,pipe_capex,13637538781.306149
2050,blend_upgrade_capex,36755533961.98947
2050,air_retrofit_capex,5856340.546952998
2050,rebuild_capex,136525966941.2924
2050,slack_penalty,0.0
2060,baseline_net_cost,-573405769241.9102
2060,carbon_cost,-1110335068403.0112
2060,coal_savings_credit,-949042214741.3374
2060,energy_penalty_cost,120155032485.8465
2060,ccs_om_cost,32828415843.11331
2060,incremental_om,1623904636082.0776
2060,biomass_cost,1335117398756.6606
2060,ammonia_cost,0.0
2060,water_cost,55318321301.69074
2060,transport_opex,104911546350.41397
2060,storage_cost,39072701816.35293
2060,stranded_capex,359657003.9165419
2060,ccs_retrofit_capex,6669659479.358702
2060,pipe_capex,4821406274.887485
2060,blend_upgrade_capex,1295197448.1939273
2060,air_retrofit_capex,0.0
2060,rebuild_capex,120654985437.78522
2060,slack_penalty,0.0
