sector_group,planning_year,cap_fraction_of_2030,source
power,2030,1.0,碳价对照组：不收紧，各组残余排放不高于自身 2030 基线
power,2040,1.0,碳价对照组：不收紧，各组残余排放不高于自身 2030 基线
power,2050,1.0,碳价对照组：不收紧，各组残余排放不高于自身 2030 基线
power,2060,1.0,碳价对照组：不收紧，各组残余排放不高于自身 2030 基线
steel,2030,1.0,碳价对照组：不收紧，各组残余排放不高于自身 2030 基线
steel,2040,1.0,碳价对照组：不收紧，各组残余排放不高于自身 2030 基线
steel,2050,1.0,碳价对照组：不收紧，各组残余排放不高于自身 2030 基线
steel,2060,1.0,碳价对照组：不收紧，各组残余排放不高于自身 2030 基线
cement,2030,1.0,碳价对照组：不收紧，各组残余排放不高于自身 2030 基线
cement,2040,1.0,碳价对照组：不收紧，各组残余排放不高于自身 2030 基线
cement,2050,1.0,碳价对照组：不收紧，各组残余排放不高于自身 2030 基线
cement,2060,1.0,碳价对照组：不收紧，各组残余排放不高于自身 2030 基线
chemicals,2030,1.0,碳价对照组：不收紧，各组残余排放不高于自身 2030 基线
chemicals,2040,1.0,碳价对照组：不收紧，各组残余排放不高于自身 2030 基线
chemicals,2050,1.0,碳价对照组：不收紧，各组残余排放不高于自身 2030 基线
chemicals,2060,1.0,碳价对照组：不收紧，各组残余排放不高于自身 2030 基线
