sector_group,planning_year,times_mt,cap_fraction_of_2030,source
power,2030,5104.4,1.0,"China TIMES V2.0 ndc_2c-cn60, CN60-noTS.xlsx (times_cn60); power = CO2ELC + CCS-ELC-BIO captured, floored at 0"
power,2040,3488.8,0.6835,"China TIMES V2.0 ndc_2c-cn60, CN60-noTS.xlsx (times_cn60); power = CO2ELC + CCS-ELC-BIO captured, floored at 0"
power,2050,99.6,0.0195,"China TIMES V2.0 ndc_2c-cn60, CN60-noTS.xlsx (times_cn60); power = CO2ELC + CCS-ELC-BIO captured, floored at 0"
power,2060,0.0,0.0,"China TIMES V2.0 ndc_2c-cn60, CN60-noTS.xlsx (times_cn60); power = CO2ELC + CCS-ELC-BIO captured, floored at 0"
steel,2030,1285.7,1.0,"China TIMES V2.0 ndc_2c-cn60, CN60-noTS.xlsx (times_cn60)"
steel,2040,523.9,0.4075,"China TIMES V2.0 ndc_2c-cn60, CN60-noTS.xlsx (times_cn60)"
steel,2050,216.1,0.1681,"China TIMES V2.0 ndc_2c-cn60, CN60-noTS.xlsx (times_cn60)"
steel,2060,151.0,0.1174,"China TIMES V2.0 ndc_2c-cn60, CN60-noTS.xlsx (times_cn60)"
cement,2030,1033.6,1.0,"China TIMES V2.0 ndc_2c-cn60, CN60-noTS.xlsx (times_cn60)"
cement,2040,364.4,0.3525,"China TIMES V2.0 ndc_2c-cn60, CN60-noTS.xlsx (times_cn60)"
cement,2050,148.8,0.144,"China TIMES V2.0 ndc_2c-cn60, CN60-noTS.xlsx (times_cn60)"
cement,2060,119.8,0.1159,"China TIMES V2.0 ndc_2c-cn60, CN60-noTS.xlsx (times_cn60)"
chemicals,2030,121.6,1.0,"China TIMES V2.0 ndc_2c-cn60, CN60-noTS.xlsx (times_cn60)"
chemicals,2040,89.5,0.7357,"China TIMES V2.0 ndc_2c-cn60, CN60-noTS.xlsx (times_cn60)"
chemicals,2050,75.8,0.623,"China TIMES V2.0 ndc_2c-cn60, CN60-noTS.xlsx (times_cn60)"
chemicals,2060,64.6,0.5309,"China TIMES V2.0 ndc_2c-cn60, CN60-noTS.xlsx (times_cn60)"
