planning_year,scenario_id,hydrology_model,gcm,ssp,variable,selection_rule,selection_status,source,year_basis
2030,cwatm|gfdl-esm4|ssp126,cwatm,gfdl-esm4,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_gfdl-esm4_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2030,cwatm|ipsl-cm6a-lr|ssp126,cwatm,ipsl-cm6a-lr,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_ipsl-cm6a-lr_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2030,cwatm|mpi-esm1-2-hr|ssp126,cwatm,mpi-esm1-2-hr,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_mpi-esm1-2-hr_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2030,cwatm|mri-esm2-0|ssp126,cwatm,mri-esm2-0,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_mri-esm2-0_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2030,cwatm|ukesm1-0-ll|ssp126,cwatm,ukesm1-0-ll,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_ukesm1-0-ll_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2030,watergap2-2e|gfdl-esm4|ssp126,watergap2-2e,gfdl-esm4,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/watergap2-2e_gfdl-esm4_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2030,watergap2-2e|ipsl-cm6a-lr|ssp126,watergap2-2e,ipsl-cm6a-lr,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/watergap2-2e_ipsl-cm6a-lr_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2030,watergap2-2e|mpi-esm1-2-hr|ssp126,watergap2-2e,mpi-esm1-2-hr,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/watergap2-2e_mpi-esm1-2-hr_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2030,watergap2-2e|mri-esm2-0|ssp126,watergap2-2e,mri-esm2-0,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/watergap2-2e_mri-esm2-0_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2030,watergap2-2e|ukesm1-0-ll|ssp126,watergap2-2e,ukesm1-0-ll,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/watergap2-2e_ukesm1-0-ll_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2040,cwatm|gfdl-esm4|ssp126,cwatm,gfdl-esm4,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_gfdl-esm4_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2040,cwatm|ipsl-cm6a-lr|ssp126,cwatm,ipsl-cm6a-lr,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_ipsl-cm6a-lr_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2040,cwatm|mpi-esm1-2-hr|ssp126,cwatm,mpi-esm1-2-hr,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_mpi-esm1-2-hr_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2040,cwatm|mri-esm2-0|ssp126,cwatm,mri-esm2-0,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_mri-esm2-0_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2040,cwatm|ukesm1-0-ll|ssp126,cwatm,ukesm1-0-ll,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_ukesm1-0-ll_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2040,watergap2-2e|gfdl-esm4|ssp126,watergap2-2e,gfdl-esm4,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/watergap2-2e_gfdl-esm4_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2040,watergap2-2e|ipsl-cm6a-lr|ssp126,watergap2-2e,ipsl-cm6a-lr,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/watergap2-2e_ipsl-cm6a-lr_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2040,watergap2-2e|mpi-esm1-2-hr|ssp126,watergap2-2e,mpi-esm1-2-hr,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/watergap2-2e_mpi-esm1-2-hr_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2040,watergap2-2e|mri-esm2-0|ssp126,watergap2-2e,mri-esm2-0,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/watergap2-2e_mri-esm2-0_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2040,watergap2-2e|ukesm1-0-ll|ssp126,watergap2-2e,ukesm1-0-ll,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/watergap2-2e_ukesm1-0-ll_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2050,cwatm|gfdl-esm4|ssp126,cwatm,gfdl-esm4,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_gfdl-esm4_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2050,cwatm|ipsl-cm6a-lr|ssp126,cwatm,ipsl-cm6a-lr,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_ipsl-cm6a-lr_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2050,cwatm|mpi-esm1-2-hr|ssp126,cwatm,mpi-esm1-2-hr,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_mpi-esm1-2-hr_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2050,cwatm|mri-esm2-0|ssp126,cwatm,mri-esm2-0,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_mri-esm2-0_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2050,cwatm|ukesm1-0-ll|ssp126,cwatm,ukesm1-0-ll,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_ukesm1-0-ll_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2050,watergap2-2e|gfdl-esm4|ssp126,watergap2-2e,gfdl-esm4,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/watergap2-2e_gfdl-esm4_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2050,watergap2-2e|ipsl-cm6a-lr|ssp126,watergap2-2e,ipsl-cm6a-lr,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/watergap2-2e_ipsl-cm6a-lr_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2050,watergap2-2e|mpi-esm1-2-hr|ssp126,watergap2-2e,mpi-esm1-2-hr,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/watergap2-2e_mpi-esm1-2-hr_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2050,watergap2-2e|mri-esm2-0|ssp126,watergap2-2e,mri-esm2-0,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/watergap2-2e_mri-esm2-0_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2050,watergap2-2e|ukesm1-0-ll|ssp126,watergap2-2e,ukesm1-0-ll,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/watergap2-2e_ukesm1-0-ll_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2060,cwatm|gfdl-esm4|ssp126,cwatm,gfdl-esm4,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_gfdl-esm4_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2060,cwatm|ipsl-cm6a-lr|ssp126,cwatm,ipsl-cm6a-lr,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_ipsl-cm6a-lr_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2060,cwatm|mpi-esm1-2-hr|ssp126,cwatm,mpi-esm1-2-hr,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_mpi-esm1-2-hr_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2060,cwatm|mri-esm2-0|ssp126,cwatm,mri-esm2-0,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_mri-esm2-0_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2060,cwatm|ukesm1-0-ll|ssp126,cwatm,ukesm1-0-ll,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/cwatm_ukesm1-0-ll_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2060,watergap2-2e|gfdl-esm4|ssp126,watergap2-2e,gfdl-esm4,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/watergap2-2e_gfdl-esm4_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2060,watergap2-2e|ipsl-cm6a-lr|ssp126,watergap2-2e,ipsl-cm6a-lr,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/watergap2-2e_ipsl-cm6a-lr_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
2060,watergap2-2e|mpi-esm1-2-hr|ssp126,watergap2-2e,mpi-esm1-2-hr,ssp126,qtot,ssp126_ensemble_baseline,grid_node_extract_ready,data/water/watergap2-2e_mpi-esm1-2-hr_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
