basin_code,basin_name,planning_year,cap_1e8_m3,actual_2025_1e8_m3,reserved_1e8_m3,modelled_industry_1e8_m3,compliance_ratio,residual_uncapped_1e8_m3,residual_1e8_m3,residual_m3_per_year,apportionment_weight,source,basis
A,东北诸河,2030,836.08,609.5,602.9,5.814,1.0,238.994,238.994,23899397068.37132,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
C,海河,2030,502.419,378.3,378.2,14.844,1.0,139.063,139.063,13906270358.902187,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
D,黄河,2030,490.751,391.8,391.9,15.176,1.0,114.027,114.027,11402692650.455942,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
E,淮河,2030,842.532,619.8,614.0,7.773,1.0,236.305,236.305,23630505941.06688,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
F,长江,2030,2231.344,2049.0,1654.5,17.907,1.0,594.751,594.751,59475095582.41286,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
G,东南诸河,2030,425.229,291.3,279.6,2.856,1.0,148.485,148.485,14848460620.658745,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
H,珠江,2030,889.177,771.7,736.3,6.561,1.0,159.438,159.438,15943752824.916857,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
J,西南诸河,2030,141.317,104.1,104.1,0.556,1.0,37.773,37.773,3777287767.422358,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
K,西北诸河,2030,641.152,729.0,729.0,2.389,0.8795,-85.459,2.101,210103048.40457624,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
A,东北诸河,2040,836.08,609.5,602.9,5.814,1.0,238.994,238.994,23899397068.37132,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
C,海河,2040,502.419,378.3,378.2,14.844,1.0,139.063,139.063,13906270358.902187,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
D,黄河,2040,490.751,391.8,391.9,15.176,1.0,114.027,114.027,11402692650.455942,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
E,淮河,2040,842.532,619.8,614.0,7.773,1.0,236.305,236.305,23630505941.06688,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
F,长江,2040,2231.344,2049.0,1654.5,17.907,1.0,594.751,594.751,59475095582.41286,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
G,东南诸河,2040,425.229,291.3,279.6,2.856,1.0,148.485,148.485,14848460620.658745,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
H,珠江,2040,889.177,771.7,736.3,6.561,1.0,159.438,159.438,15943752824.916857,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
J,西南诸河,2040,141.317,104.1,104.1,0.556,1.0,37.773,37.773,3777287767.422358,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
K,西北诸河,2040,641.152,729.0,729.0,2.389,0.8795,-85.459,2.101,210103048.40457624,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
A,东北诸河,2050,836.08,609.5,602.9,5.814,1.0,238.994,238.994,23899397068.37132,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
C,海河,2050,502.419,378.3,378.2,14.844,1.0,139.063,139.063,13906270358.902187,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
D,黄河,2050,490.751,391.8,391.9,15.176,1.0,114.027,114.027,11402692650.455942,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
E,淮河,2050,842.532,619.8,614.0,7.773,1.0,236.305,236.305,23630505941.06688,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
F,长江,2050,2231.344,2049.0,1654.5,17.907,1.0,594.751,594.751,59475095582.41286,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
G,东南诸河,2050,425.229,291.3,279.6,2.856,1.0,148.485,148.485,14848460620.658745,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
H,珠江,2050,889.177,771.7,736.3,6.561,1.0,159.438,159.438,15943752824.916857,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
J,西南诸河,2050,141.317,104.1,104.1,0.556,1.0,37.773,37.773,3777287767.422358,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
K,西北诸河,2050,641.152,729.0,729.0,2.389,0.8795,-85.459,2.101,210103048.40457624,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
A,东北诸河,2060,836.08,609.5,602.9,5.814,1.0,238.994,238.994,23899397068.37132,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
C,海河,2060,502.419,378.3,378.2,14.844,1.0,139.063,139.063,13906270358.902187,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
D,黄河,2060,490.751,391.8,391.9,15.176,1.0,114.027,114.027,11402692650.455942,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
E,淮河,2060,842.532,619.8,614.0,7.773,1.0,236.305,236.305,23630505941.06688,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
F,长江,2060,2231.344,2049.0,1654.5,17.907,1.0,594.751,594.751,59475095582.41286,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
G,东南诸河,2060,425.229,291.3,279.6,2.856,1.0,148.485,148.485,14848460620.658745,demand,国办发〔2013〕2号 附件1 + 2025年中国水资源公报 表9,"withdrawal (用水量, 新水取用量)"
