scenario_id,hydrology_model,gcm,ssp,scenario_family,socioeconomics,variable,frequency,start_year,end_year,is_base_candidate,source,year_basis
cwatm|gfdl-esm4|ssp126,cwatm,gfdl-esm4,ssp126,baseline,2015soc-from-histsoc,qtot,monthly,2015,2100,True,data/water/cwatm_gfdl-esm4_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
cwatm|gfdl-esm4|ssp370,cwatm,gfdl-esm4,ssp370,high_pressure,2015soc-from-histsoc,qtot,monthly,2015,2100,False,data/water/cwatm_gfdl-esm4_w5e5_ssp370_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
cwatm|ipsl-cm6a-lr|ssp126,cwatm,ipsl-cm6a-lr,ssp126,baseline,2015soc-from-histsoc,qtot,monthly,2015,2100,True,data/water/cwatm_ipsl-cm6a-lr_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
cwatm|ipsl-cm6a-lr|ssp370,cwatm,ipsl-cm6a-lr,ssp370,high_pressure,2015soc-from-histsoc,qtot,monthly,2015,2100,False,data/water/cwatm_ipsl-cm6a-lr_w5e5_ssp370_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
cwatm|mpi-esm1-2-hr|ssp126,cwatm,mpi-esm1-2-hr,ssp126,baseline,2015soc-from-histsoc,qtot,monthly,2015,2100,True,data/water/cwatm_mpi-esm1-2-hr_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
cwatm|mpi-esm1-2-hr|ssp370,cwatm,mpi-esm1-2-hr,ssp370,high_pressure,2015soc-from-histsoc,qtot,monthly,2015,2100,False,data/water/cwatm_mpi-esm1-2-hr_w5e5_ssp370_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
cwatm|mri-esm2-0|ssp126,cwatm,mri-esm2-0,ssp126,baseline,2015soc-from-histsoc,qtot,monthly,2015,2100,True,data/water/cwatm_mri-esm2-0_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
cwatm|mri-esm2-0|ssp370,cwatm,mri-esm2-0,ssp370,high_pressure,2015soc-from-histsoc,qtot,monthly,2015,2100,False,data/water/cwatm_mri-esm2-0_w5e5_ssp370_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
cwatm|ukesm1-0-ll|ssp126,cwatm,ukesm1-0-ll,ssp126,baseline,2015soc-from-histsoc,qtot,monthly,2015,2100,True,data/water/cwatm_ukesm1-0-ll_w5e5_ssp126_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
cwatm|ukesm1-0-ll|ssp370,cwatm,ukesm1-0-ll,ssp370,high_pressure,2015soc-from-histsoc,qtot,monthly,2015,2100,False,data/water/cwatm_ukesm1-0-ll_w5e5_ssp370_2015soc-from-histsoc_default_qtot_global_monthly_2015_2100.nc,2015-2100
